name,address,city,state,zip,country,full_address,phone,time_hours,days,service_type,distance_miles,County,latitude,longitude
The Victory Group,1035 Delsea Drive,Westville,NJ,8093,US,"1035 Delsea Drive, Westville, NJ, 08093, US",856-853-2688,Regular Distribution Day Every Month 3rd Saturday 9:00am - 1:00pm; -,Regular Distribution Day Every Month 3rd Saturday 9:00am - 1:00pm; -,,,Gloucester County,39.8562042,-75.1250199
St. Matthew's Community Development Center,245 Glassboro Road,Williamstown,NJ,8094,US,"245 Glassboro Road, Williamstown, NJ, 08094, US",856-629-4614,9:00am - 1:00pm,4th Thursday,,,Gloucester County,39.6867567,-74.9994369
Williamstown Sunrise Rotary / Monroe Twp Pantry,408 Church Street,Williamstown,NJ,8094,US,"408 Church Street, Williamstown, NJ, 08094, US",856-728-9840,"10:00am-4:00pm @ 301 Blue Bell Rd, Williamstown, NJ; 9:30am-11:30am @ 408 Church Street, Williamstown, NJ",,,,Gloucester County,39.6810559,-74.9966921
Rotary Club of Wash. -Mother's Cupboard,523 Egg Harbor Rd,Sewell,NJ,8080,US,"523 Egg Harbor Rd, Sewell, NJ, 08080, US",856-589-0520 ext. 2254,9:00am - 12:00pm,Distribution Every Thursday (except 5th Thursday of each month when there,Pantry,41.44,Gloucester County,39.739716,-75.0685323
North Baptist Church,1020 North Evergreen Avenue,Woodbury,NJ,8096,US,"1020 North Evergreen Avenue, Woodbury, NJ, 08096, US",856-845-8433,1:00pm - 3:00pm,"3rd, 4th, and 5th Monday - Saturday",Pantry,41.55,Gloucester County,39.8494823,-75.1419258
Loving Our Cities,274 Delsea Drive,Sewell,NJ,8080,US,"274 Delsea Drive, Sewell, NJ, 08080, US",856-817-6223,Tuesday 9:00am - 12:00pm; Thursday 4:00pm - 6:00pm **CLOSED NOV. 27th FOR THANKSGIVING**,Every Tuesday and Thursday; Tuesday 9:00am - 12:00pm; Thursday 4:00pm - 6:00pm **CLOSED NOV. 27th FOR THANKSGIVING**,,,Gloucester County,39.767533,-75.1054996
Woodbury School Pantry,25 N. Broad Street,Woodbury,NJ,8096,US,"25 N. Broad Street, Woodbury, NJ, 08096, US",,4th Wednesday 9:00 AM - 11:00 AM,4th Wednesday 9:00 AM - 11:00 AM,Pantry,,Gloucester County,39.8385501,-75.1529857
Jericho - Deptford Community Development,981 Mail Avenue,Deptford,NJ,8096,US,"981 Mail Avenue, Deptford, NJ, 08096, US",856-468-8686,1:00pm-3:00pm,Wednesday,Pantry,42.63,Gloucester County,39.8074918,-75.1396116
Strong Tower Resource Center,341 Fish Pond Road,Glassboro,NJ,8028,US,"341 Fish Pond Road, Glassboro, NJ, 08028, US",646-404-1746,10:00am-12:00pm; Wednesday - Friday 11:00am-12:00pm,1st Saturday; Wednesday - Friday 11:00am-12:00pm,Pantry,43.27,Gloucester County,39.7164145,-75.0894887
NHP Foundation (Hollybush Gardens),300 Ruth Avenue,Glassboro,NJ,8028,US,"300 Ruth Avenue, Glassboro, NJ, 08028, US",856-226-3007,10:00am - 12:00pm & 5:00pm - 6:30pm,3rd Wednesday and 4th Monday,Pantry,44.34,Gloucester County,39.7052254,-75.1046466
St. Paul's UM Church,74 Church Street,West Deptford,NJ,8086,US,"74 Church Street, West Deptford, NJ, 08086, US",856-845-6638,2nd Wednesday 8:30am - 12:30pm,2nd Wednesday 8:30am - 12:30pm,Pantry,,Gloucester County,39.8411918,-75.196519
St. Thomas Episcopal Church,212 North Main Street,Glassboro,NJ,8093,US,"212 North Main Street, Glassboro, NJ, 08093, US",856-881-9144,9:00am - 1:00pm,2nd Saturday,Pantry,,Gloucester County,39.7078879,-75.1104469
The Pitman Pantry,30 North Broadway,Pitman,NJ,8103,US,"30 North Broadway, Pitman, NJ, 08103, US",856-589-2266,,Tuesday-Thursday; Tuesday 6 PM - 7 PM; Wednesday 4 PM - 6 PM; Thursday 12 PM - 1 PM,Pantry,,Gloucester County,39.7336165,-75.1320938
Joy Community Fellowship,759 Lincoln Avenue,Pitman,NJ,8071,US,"759 Lincoln Avenue, Pitman, NJ, 08071, US",856-582-4404,7:30am - 9:30am,1st & 3rd Saturday,Pantry,44.76,Gloucester County,39.7261002,-75.1307381
Healing Wings Community Center,520 East Stanger Avenue,Glassboro,NJ,8028,US,"520 East Stanger Avenue, Glassboro, NJ, 08028, US",856-442-0408,9:00am - 1:00pm,2nd & 4th Wednesday,Pantry,44.99,Gloucester County,39.6846382,-75.1013128
Agape Fellowship Christian Church,125 East Center Street,Clayton,NJ,8312,US,"125 East Center Street, Clayton, NJ, 08312, US",856-881-2310,3rd Saturday after the 3rd Friday 9:00 AM - 1:00 PM,3rd Saturday after the 3rd Friday 9:00 AM - 1:00 PM,Pantry,45.55,Gloucester County,39.6589441,-75.0837585
Glorious Light Christian Ministries,104 East Broad Street,Paulsboro,NJ,8066,US,"104 East Broad Street, Paulsboro, NJ, 08066, US",856-599-0026,10:30am - 12:30pm,Saturday,,,Gloucester County,39.8263796,-75.2748822
Clonmell UMC Loaves Fishes,516 West Broad Street,Gibbstown,NJ,8027,US,"516 West Broad Street, Gibbstown, NJ, 08027, US",856-423-1196,10:00am - 12:00pm & 4:00pm - 6:00pm,2nd Tuesday,Pantry,,Gloucester County,39.8251735,-75.2878688
Victory Assembly of God,317 Harding Highway,Elmer,NJ,8318,US,"317 Harding Highway, Elmer, NJ, 08318, US",856-769-4512,9:00am-1:00pm,3rd Saturday,Pantry,,Salem County,39.5964633,-75.167588
King's Things,1402 Kings Highway,Swedesboro,NJ,8085,US,"1402 Kings Highway, Swedesboro, NJ, 08085, US",856-467-1796,Wednesday & Saturday 10:00am - 12:30pm; Thursday 3:30pm - 6:00pm,Wednesday & Saturday 10:00am - 12:30pm; Thursday 3:30pm - 6:00pm,Pantry,,Gloucester County,39.7481633,-75.3096998
Spencer UAME Church,314 Bailey Street,Woodstown,NJ,8098,US,"314 Bailey Street, Woodstown, NJ, 08098, US",856-769-0525,9:00am - 1:00pm,4th Saturday,Pantry,,Salem County,39.6413635,-75.328925
Mt. Hope UM Church,364 Broadway Street,Salem,NJ,8079,US,"364 Broadway Street, Salem, NJ, 08079, US",856-935-2091,9:00am -1:00pm,3rd Saturday,Pantry,,Salem County,39.7109167,-75.4706797
First Baptist Church -Mickey Bowman,130 West Broadway,Salem,NJ,8079,US,"130 West Broadway, Salem, NJ, 08079, US",856-935-0531,8:00am - 12:00pm,First Baptist Church -Mickey Bowman; 2nd Saturday,Pantry,65.62,Salem County,39.572357,-75.468414
St. John Pentecostal Church,22 New Market Street,Salem,NJ,8079,US,"22 New Market Street, Salem, NJ, 08079, US",856-935-1445,1:00pm-3:00pm,Wednesday and Friday; Also open for emergencies by appointment (Monday-Friday),,,Salem County,39.570482,-75.46767
Mid-Atlantic States Career & Education Center,375 South Broadway,Pennsville,NJ,8070,US,"375 South Broadway, Pennsville, NJ, 08070, US",856-514-2200,distribution starts at 11:15am,Monday - Friday,,,Salem County,39.6355428,-75.5144394
Better Tomorrows,40 Eaton Road,Pennsville,NJ,8070,US,"40 Eaton Road, Pennsville, NJ, 08070, US",856-322-0185,8:00am - 4:00pm,2nd & 4th Thursday,,,Salem County,39.6413857,-75.5206748
